,shRNAname,label,score
Bcl2_1032_sas,Bcl2_1032_sas,1,-0.687752327
Bcl2_1033_sas,Bcl2_1033_sas,1,3.182088043
Bcl2_1034_sas,Bcl2_1034_sas,1,-0.062412958
Bcl2_1035_sas,Bcl2_1035_sas,1,-2.130705288
Bcl2_1036_sas,Bcl2_1036_sas,1,0.439720434
Bcl2_1037_sas,Bcl2_1037_sas,1,2.41323689
Bcl2_1038_sas,Bcl2_1038_sas,1,2.509223372
Bcl2_1039_sas,Bcl2_1039_sas,0,-7.414292489
Bcl2_104_sas,Bcl2_104_sas,1,-1.850219859
Bcl2_1040_sas,Bcl2_1040_sas,0,-8.757445362
Bcl2_1041_sas,Bcl2_1041_sas,0,-4.43447706
Bcl2_1042_sas,Bcl2_1042_sas,0,-11.22669058
Bcl2_1043_sas,Bcl2_1043_sas,0,-10.40352649
Bcl2_1044_sas,Bcl2_1044_sas,0,-11.94778949
Bcl2_1045_sas,Bcl2_1045_sas,0,-7.223024703
Bcl2_1046_sas,Bcl2_1046_sas,1,0.124980725
Bcl2_1047_sas,Bcl2_1047_sas,1,0.416461827
Bcl2_1048_sas,Bcl2_1048_sas,1,-0.445100178
Bcl2_1049_sas,Bcl2_1049_sas,0,-6.693746337
Bcl2_105_sas,Bcl2_105_sas,0,-3.614409345
Bcl2_1050_sas,Bcl2_1050_sas,0,-10.4924564
Bcl2_1051_sas,Bcl2_1051_sas,1,-0.966422917
Bcl2_1052_sas,Bcl2_1052_sas,1,-1.472202144
Bcl2_1053_sas,Bcl2_1053_sas,0,-7.888627658
Bcl2_1054_sas,Bcl2_1054_sas,0,-8.182110084
Bcl2_1055_sas,Bcl2_1055_sas,0,-8.122553497
Bcl2_1056_sas,Bcl2_1056_sas,1,1.516164549
Bcl2_1057_sas,Bcl2_1057_sas,1,-1.699316326
Bcl2_1058_sas,Bcl2_1058_sas,0,-8.157928574
Bcl2_1059_sas,Bcl2_1059_sas,0,-7.454008631
Bcl2_106_sas,Bcl2_106_sas,0,-3.803665157
Bcl2_1060_sas,Bcl2_1060_sas,1,0.785258687
Bcl2_1061_sas,Bcl2_1061_sas,1,-2.140465805
Bcl2_1062_sas,Bcl2_1062_sas,1,0.002197371
Bcl2_1063_sas,Bcl2_1063_sas,0,-3.870506063
Bcl2_1064_sas,Bcl2_1064_sas,0,-4.240952443
Bcl2_1065_sas,Bcl2_1065_sas,0,-4.747164286
Bcl2_1066_sas,Bcl2_1066_sas,0,-7.868174538
Bcl2_1067_sas,Bcl2_1067_sas,0,-7.667747518
Bcl2_1068_sas,Bcl2_1068_sas,0,-5.907891772
Bcl2_1069_sas,Bcl2_1069_sas,1,1.763721364
Bcl2_107_sas,Bcl2_107_sas,0,-3.850219859
Bcl2_1070_sas,Bcl2_1070_sas,0,-8.549334769
Bcl2_1071_sas,Bcl2_1071_sas,0,-5.173305343
Bcl2_1072_sas,Bcl2_1072_sas,0,-8.202703711
Bcl2_1073_sas,Bcl2_1073_sas,0,-8.620358405
Bcl2_1074_sas,Bcl2_1074_sas,0,-8.855853649
Bcl2_1075_sas,Bcl2_1075_sas,0,-8.597705329
Bcl2_1076_sas,Bcl2_1076_sas,0,-9.457221765
Bcl2_1077_sas,Bcl2_1077_sas,0,-7.649604009
Bcl2_1078_sas,Bcl2_1078_sas,0,-7.511617278
Bcl2_1079_sas,Bcl2_1079_sas,0,-7.001407508
Bcl2_108_sas,Bcl2_108_sas,1,-2.953445298
Bcl2_1080_sas,Bcl2_1080_sas,0,-7.927227242
Bcl2_1081_sas,Bcl2_1081_sas,0,-7.433349691
Bcl2_1082_sas,Bcl2_1082_sas,0,-6.279569028
Bcl2_1083_sas,Bcl2_1083_sas,0,-6.011357287
Bcl2_1084_sas,Bcl2_1084_sas,0,-8.198469598
Bcl2_1085_sas,Bcl2_1085_sas,1,1.026296634
Bcl2_1086_sas,Bcl2_1086_sas,1,0.585144223
Bcl2_1087_sas,Bcl2_1087_sas,1,2.919611353
Bcl2_1088_sas,Bcl2_1088_sas,1,-2.716767069
Bcl2_1089_sas,Bcl2_1089_sas,0,-5.623370299
Bcl2_109_sas,Bcl2_109_sas,0,-3.321928095
Bcl2_1090_sas,Bcl2_1090_sas,0,-5.586838568
Bcl2_1091_sas,Bcl2_1091_sas,0,-7.071452394
Bcl2_1092_sas,Bcl2_1092_sas,0,-7.352600189
Bcl2_1093_sas,Bcl2_1093_sas,0,-7.676159677
Bcl2_1094_sas,Bcl2_1094_sas,0,-7.413001105
Bcl2_1095_sas,Bcl2_1095_sas,0,-7.806650137
Bcl2_1096_sas,Bcl2_1096_sas,0,-6.22766361
Bcl2_1097_sas,Bcl2_1097_sas,0,-8.240458197
Bcl2_1098_sas,Bcl2_1098_sas,0,-7.513542632
Bcl2_1099_sas,Bcl2_1099_sas,0,-8.750817535
Bcl2_110_sas,Bcl2_110_sas,0,-4.882435795
Bcl2_1100_sas,Bcl2_1100_sas,0,-5.216077492
Bcl2_1101_sas,Bcl2_1101_sas,0,-8.02826594
Bcl2_1102_sas,Bcl2_1102_sas,0,-9.055738511
Bcl2_1103_sas,Bcl2_1103_sas,0,-7.728096982
Bcl2_1104_sas,Bcl2_1104_sas,0,-4.165868296
Bcl2_1105_sas,Bcl2_1105_sas,0,-7.937730699
Bcl2_1106_sas,Bcl2_1106_sas,0,-4.730642271
Bcl2_1107_sas,Bcl2_1107_sas,0,-9.00920877
Bcl2_1108_sas,Bcl2_1108_sas,0,-6.835881093
Bcl2_1109_sas,Bcl2_1109_sas,0,-8.048295815
Bcl2_111_sas,Bcl2_111_sas,0,-5.877443751
Bcl2_1110_sas,Bcl2_1110_sas,0,-7.52117169
Bcl2_1111_sas,Bcl2_1111_sas,0,-5.043249075
Bcl2_1112_sas,Bcl2_1112_sas,0,-7.995727707
Bcl2_1113_sas,Bcl2_1113_sas,1,-0.271065825
Bcl2_1114_sas,Bcl2_1114_sas,0,-4.541322472
Bcl2_1115_sas,Bcl2_1115_sas,0,-7.076182037
Bcl2_1116_sas,Bcl2_1116_sas,1,-0.742486895
Bcl2_1117_sas,Bcl2_1117_sas,0,-9.49456418
Bcl2_1118_sas,Bcl2_1118_sas,1,-1.584962501
Bcl2_1119_sas,Bcl2_1119_sas,1,2.020143979
Bcl2_112_sas,Bcl2_112_sas,0,-4.02219706
Bcl2_1120_sas,Bcl2_1120_sas,1,0.332291914
Bcl2_1121_sas,Bcl2_1121_sas,1,1.626664244
Bcl2_1122_sas,Bcl2_1122_sas,1,3.221499536
Bcl2_1123_sas,Bcl2_1123_sas,1,-0.009626773
Bcl2_1124_sas,Bcl2_1124_sas,1,1.512762897
Bcl2_1125_sas,Bcl2_1125_sas,1,1.017819326
Bcl2_1126_sas,Bcl2_1126_sas,1,-1.696456176
Bcl2_1127_sas,Bcl2_1127_sas,1,2.628199918
Bcl2_1128_sas,Bcl2_1128_sas,0,-5.047985136
Bcl2_1129_sas,Bcl2_1129_sas,0,-7.981086516
Bcl2_113_sas,Bcl2_113_sas,0,-3.866445635
Bcl2_1130_sas,Bcl2_1130_sas,1,-0.195736796
Bcl2_1131_sas,Bcl2_1131_sas,1,1.031086695
Bcl2_1132_sas,Bcl2_1132_sas,1,4.368008061
Bcl2_1133_sas,Bcl2_1133_sas,1,1.444584391
Bcl2_1134_sas,Bcl2_1134_sas,0,-9.673514358
Bcl2_1135_sas,Bcl2_1135_sas,1,-1.434182075
Bcl2_1136_sas,Bcl2_1136_sas,0,-9.268470493
Bcl2_1137_sas,Bcl2_1137_sas,0,-11.79444931
Bcl2_1138_sas,Bcl2_1138_sas,0,-5.608320335
Bcl2_1139_sas,Bcl2_1139_sas,0,-7.80452606
Bcl2_114_sas,Bcl2_114_sas,0,-3
Bcl2_1140_sas,Bcl2_1140_sas,0,-4.498285388
Bcl2_1141_sas,Bcl2_1141_sas,0,-8.914991701
Bcl2_1142_sas,Bcl2_1142_sas,1,-2.849141025
Bcl2_1143_sas,Bcl2_1143_sas,1,-2.80039225
Bcl2_1144_sas,Bcl2_1144_sas,1,-0.165695204
Bcl2_1145_sas,Bcl2_1145_sas,0,-3.297156708
Bcl2_1146_sas,Bcl2_1146_sas,0,-9.195487503
Bcl2_1147_sas,Bcl2_1147_sas,1,-2.5083113
Bcl2_1148_sas,Bcl2_1148_sas,1,0.071872339
Bcl2_1149_sas,Bcl2_1149_sas,1,-1.430171379
Bcl2_115_sas,Bcl2_115_sas,0,-3.700439718
Bcl2_1150_sas,Bcl2_1150_sas,0,-6.382686674
Bcl2_1151_sas,Bcl2_1151_sas,0,-4.157137535
Bcl2_1152_sas,Bcl2_1152_sas,1,-1.700097642
Bcl2_1153_sas,Bcl2_1153_sas,1,-0.522991495
Bcl2_1154_sas,Bcl2_1154_sas,0,-9.262867449
Bcl2_1155_sas,Bcl2_1155_sas,0,-4.354871764
Bcl2_1156_sas,Bcl2_1156_sas,1,-0.734235576
Bcl2_1157_sas,Bcl2_1157_sas,0,-5.55409523
Bcl2_1158_sas,Bcl2_1158_sas,0,-9.641833584
Bcl2_1159_sas,Bcl2_1159_sas,0,-5.949489602
Bcl2_116_sas,Bcl2_116_sas,0,-6.306434249
Bcl2_1160_sas,Bcl2_1160_sas,1,-0.09353406
Bcl2_1161_sas,Bcl2_1161_sas,0,-8.376738966
Bcl2_1162_sas,Bcl2_1162_sas,0,-6.584257716
Bcl2_1163_sas,Bcl2_1163_sas,1,-0.894680453
Bcl2_1164_sas,Bcl2_1164_sas,1,1.184670604
Bcl2_1165_sas,Bcl2_1165_sas,1,3.745476839
Bcl2_1166_sas,Bcl2_1166_sas,1,1.465971013
Bcl2_1167_sas,Bcl2_1167_sas,1,-0.361200751
Bcl2_1168_sas,Bcl2_1168_sas,1,0.352091737
Bcl2_1169_sas,Bcl2_1169_sas,0,-7.243166126
Bcl2_117_sas,Bcl2_117_sas,1,-0.29248125
Bcl2_1170_sas,Bcl2_1170_sas,0,-3.285349522
Bcl2_1171_sas,Bcl2_1171_sas,1,-2.042016282
Bcl2_1172_sas,Bcl2_1172_sas,0,-7.359533951
Bcl2_1173_sas,Bcl2_1173_sas,0,-3.173256867
Bcl2_1174_sas,Bcl2_1174_sas,0,-7.054915327
Bcl2_1175_sas,Bcl2_1175_sas,0,-7.625260245
Bcl2_1176_sas,Bcl2_1176_sas,1,1.121670659
Bcl2_1177_sas,Bcl2_1177_sas,1,0.963579663
Bcl2_1178_sas,Bcl2_1178_sas,0,-7.754640084
Bcl2_1179_sas,Bcl2_1179_sas,1,0.940892696
Bcl2_118_sas,Bcl2_118_sas,0,-5.567854643
Bcl2_1180_sas,Bcl2_1180_sas,0,-7.923051239
Bcl2_1181_sas,Bcl2_1181_sas,1,2.430148149
Bcl2_1182_sas,Bcl2_1182_sas,1,3.069461139
Bcl2_1183_sas,Bcl2_1183_sas,1,1.004766543
Bcl2_1184_sas,Bcl2_1184_sas,0,-3.717887211
Bcl2_1185_sas,Bcl2_1185_sas,0,-9.196066457
Bcl2_1186_sas,Bcl2_1186_sas,0,-8.645837173
Bcl2_1187_sas,Bcl2_1187_sas,0,-3.971680348
Bcl2_1188_sas,Bcl2_1188_sas,0,-7.290394263
Bcl2_1189_sas,Bcl2_1189_sas,0,-8.245550748
Bcl2_119_sas,Bcl2_119_sas,1,1.198852971
Bcl2_1190_sas,Bcl2_1190_sas,0,-8.44471039
Bcl2_1191_sas,Bcl2_1191_sas,0,-8.047183197
Bcl2_1192_sas,Bcl2_1192_sas,0,-8.098147373
Bcl2_1193_sas,Bcl2_1193_sas,0,-8.74058043
Bcl2_1194_sas,Bcl2_1194_sas,0,-8.066049016
Bcl2_1195_sas,Bcl2_1195_sas,0,-8.839079979
Bcl2_1196_sas,Bcl2_1196_sas,0,-8.44208526
Bcl2_1197_sas,Bcl2_1197_sas,0,-8.30600948
Bcl2_1198_sas,Bcl2_1198_sas,0,-6.779270148
Bcl2_1199_sas,Bcl2_1199_sas,0,-8.062282811
Bcl2_120_sas,Bcl2_120_sas,0,-7.110491426
Bcl2_1200_sas,Bcl2_1200_sas,0,-7.057033824
Bcl2_1201_sas,Bcl2_1201_sas,0,-6.713983757
Bcl2_1202_sas,Bcl2_1202_sas,0,-8.524669036
Bcl2_1203_sas,Bcl2_1203_sas,0,-5.021950786
Bcl2_1204_sas,Bcl2_1204_sas,0,-6.876190323
Bcl2_1205_sas,Bcl2_1205_sas,0,-7.038658223
Bcl2_1206_sas,Bcl2_1206_sas,0,-6.970982296
Bcl2_1207_sas,Bcl2_1207_sas,0,-5.475642357
Bcl2_1208_sas,Bcl2_1208_sas,1,-2.415613163
Bcl2_1209_sas,Bcl2_1209_sas,0,-7.76080022
Bcl2_121_sas,Bcl2_121_sas,0,-7.097686104
Bcl2_1210_sas,Bcl2_1210_sas,1,1.028486313
Bcl2_1211_sas,Bcl2_1211_sas,0,-6.757110455
Bcl2_1212_sas,Bcl2_1212_sas,0,-6.312626111
Bcl2_1213_sas,Bcl2_1213_sas,0,-6.896293484
Bcl2_1214_sas,Bcl2_1214_sas,0,-7.055119299
Bcl2_1215_sas,Bcl2_1215_sas,0,-7.314849063
Bcl2_1216_sas,Bcl2_1216_sas,0,-7.228626306
Bcl2_1217_sas,Bcl2_1217_sas,0,-3.86888954
Bcl2_1218_sas,Bcl2_1218_sas,0,-7.55780634
Bcl2_1219_sas,Bcl2_1219_sas,1,-2.476569114
Bcl2_122_sas,Bcl2_122_sas,0,-6.800769338
Bcl2_1220_sas,Bcl2_1220_sas,0,-4.181500928
Bcl2_1221_sas,Bcl2_1221_sas,0,-5.580014483
Bcl2_1222_sas,Bcl2_1222_sas,0,-3.286836244
Bcl2_1223_sas,Bcl2_1223_sas,0,-7.687349951
Bcl2_1224_sas,Bcl2_1224_sas,0,-8.347838444
Bcl2_1225_sas,Bcl2_1225_sas,0,-4.940622079
Bcl2_1226_sas,Bcl2_1226_sas,0,-8.684747555
Bcl2_1227_sas,Bcl2_1227_sas,0,-8.261903479
Bcl2_1228_sas,Bcl2_1228_sas,0,-8.156955226
Bcl2_1229_sas,Bcl2_1229_sas,0,-8.355335964
Bcl2_123_sas,Bcl2_123_sas,0,-7.927409848
Bcl2_1230_sas,Bcl2_1230_sas,0,-7.883678427
Bcl2_1231_sas,Bcl2_1231_sas,0,-7.583375765
Bcl2_1232_sas,Bcl2_1232_sas,0,-7.856357531
Bcl2_1233_sas,Bcl2_1233_sas,0,-8.268806379
Bcl2_1234_sas,Bcl2_1234_sas,0,-8.317348813
Bcl2_1235_sas,Bcl2_1235_sas,0,-9.032773808
Bcl2_1236_sas,Bcl2_1236_sas,0,-4.735159967
Bcl2_1237_sas,Bcl2_1237_sas,0,-8.296848744
Bcl2_1238_sas,Bcl2_1238_sas,1,-2.696498784
Bcl2_1239_sas,Bcl2_1239_sas,0,-3.465259764
Bcl2_124_sas,Bcl2_124_sas,0,-6.695017285
Bcl2_1240_sas,Bcl2_1240_sas,1,1.197436486
Bcl2_1241_sas,Bcl2_1241_sas,1,3.126038876
Bcl2_1242_sas,Bcl2_1242_sas,0,-5.454145024
Bcl2_1243_sas,Bcl2_1243_sas,0,-5.37510898
Bcl2_1244_sas,Bcl2_1244_sas,0,-8.102820271
Bcl2_1245_sas,Bcl2_1245_sas,1,-0.163802825
Bcl2_1246_sas,Bcl2_1246_sas,0,-7.74819285
Bcl2_1247_sas,Bcl2_1247_sas,0,-7.37309969
Bcl2_1248_sas,Bcl2_1248_sas,0,-7.222636778
Bcl2_1249_sas,Bcl2_1249_sas,0,-8.060786994
Bcl2_125_sas,Bcl2_125_sas,0,-7.459804119
Bcl2_1250_sas,Bcl2_1250_sas,0,-8.247146547
Bcl2_1251_sas,Bcl2_1251_sas,0,-5.117388073
Bcl2_1252_sas,Bcl2_1252_sas,0,-5.182094692
Bcl2_1253_sas,Bcl2_1253_sas,0,-6.191683398
Bcl2_1254_sas,Bcl2_1254_sas,0,-6.082139219
Bcl2_1255_sas,Bcl2_1255_sas,0,-8.038094646
Bcl2_1256_sas,Bcl2_1256_sas,0,-7.993243244
Bcl2_1257_sas,Bcl2_1257_sas,0,-5.602907156
Bcl2_1258_sas,Bcl2_1258_sas,1,0.36113207
Bcl2_1259_sas,Bcl2_1259_sas,0,-5.98660951
Bcl2_126_sas,Bcl2_126_sas,0,-5.108372929
Bcl2_1260_sas,Bcl2_1260_sas,0,-8.642990053
Bcl2_1261_sas,Bcl2_1261_sas,0,-7.987935177
Bcl2_1262_sas,Bcl2_1262_sas,1,-2.358159923
Bcl2_1263_sas,Bcl2_1263_sas,1,1.494491896
Bcl2_1264_sas,Bcl2_1264_sas,1,1.71420025
Bcl2_1265_sas,Bcl2_1265_sas,1,0.940579537
Bcl2_1266_sas,Bcl2_1266_sas,0,-7.076776016
Bcl2_1267_sas,Bcl2_1267_sas,1,-0.06175256
Bcl2_1268_sas,Bcl2_1268_sas,1,-2.960622944
Bcl2_1269_sas,Bcl2_1269_sas,0,-6.845271841
Bcl2_127_sas,Bcl2_127_sas,0,-6.400854179
Bcl2_1270_sas,Bcl2_1270_sas,0,-5.405912497
Bcl2_1271_sas,Bcl2_1271_sas,1,-2.138593876
Bcl2_1272_sas,Bcl2_1272_sas,1,2.821461981
Bcl2_1273_sas,Bcl2_1273_sas,0,-7.173152978
Bcl2_1274_sas,Bcl2_1274_sas,1,-1.280031705
Bcl2_1275_sas,Bcl2_1275_sas,0,-4.335328125
Bcl2_1276_sas,Bcl2_1276_sas,1,-2.716531883
Bcl2_1277_sas,Bcl2_1277_sas,0,-5.321359418
Bcl2_1278_sas,Bcl2_1278_sas,1,1.162659342
Bcl2_1279_sas,Bcl2_1279_sas,1,-0.983396263
Bcl2_128_sas,Bcl2_128_sas,0,-7.391243189
Bcl2_1280_sas,Bcl2_1280_sas,0,-5.825387802
Bcl2_1281_sas,Bcl2_1281_sas,0,-8.25681754
Bcl2_1282_sas,Bcl2_1282_sas,1,1.688477977
Bcl2_1283_sas,Bcl2_1283_sas,0,-4.686883513
Bcl2_1284_sas,Bcl2_1284_sas,0,-4.834504834
Bcl2_1285_sas,Bcl2_1285_sas,0,-7.231077662
Bcl2_1286_sas,Bcl2_1286_sas,0,-7.773989483
Bcl2_1287_sas,Bcl2_1287_sas,0,-6.407791717
Bcl2_1288_sas,Bcl2_1288_sas,0,-6.076459288
Bcl2_1289_sas,Bcl2_1289_sas,0,-7.223799929
Bcl2_129_sas,Bcl2_129_sas,1,1.541568673
Bcl2_1290_sas,Bcl2_1290_sas,0,-3.471651405
Bcl2_1291_sas,Bcl2_1291_sas,0,-7.642556594
Bcl2_1292_sas,Bcl2_1292_sas,0,-8.123527984
Bcl2_1293_sas,Bcl2_1293_sas,1,-2.195397346
Bcl2_1294_sas,Bcl2_1294_sas,0,-4.082872815
Bcl2_1295_sas,Bcl2_1295_sas,1,-1.979696143
Bcl2_1296_sas,Bcl2_1296_sas,1,1.461987637
Bcl2_1297_sas,Bcl2_1297_sas,1,2.877506057
Bcl2_1298_sas,Bcl2_1298_sas,1,-2.765443587
Bcl2_1299_sas,Bcl2_1299_sas,1,0.310952128
Bcl2_130_sas,Bcl2_130_sas,0,-7.843250264
Bcl2_1300_sas,Bcl2_1300_sas,1,-0.923608184
Bcl2_1301_sas,Bcl2_1301_sas,1,-0.267760696
Bcl2_1302_sas,Bcl2_1302_sas,1,1.190048904
Bcl2_1303_sas,Bcl2_1303_sas,1,-0.444752849
Bcl2_1304_sas,Bcl2_1304_sas,1,0.199206753
Bcl2_1305_sas,Bcl2_1305_sas,1,-2.360657451
Bcl2_1306_sas,Bcl2_1306_sas,1,0.869520995
Bcl2_1307_sas,Bcl2_1307_sas,1,-0.512709876
Bcl2_1308_sas,Bcl2_1308_sas,1,1.320350469
Bcl2_1309_sas,Bcl2_1309_sas,1,-2.130587682
Bcl2_131_sas,Bcl2_131_sas,0,-5.45419631
Bcl2_1310_sas,Bcl2_1310_sas,0,-6.720704921
Bcl2_1311_sas,Bcl2_1311_sas,1,4.275253689
Bcl2_1312_sas,Bcl2_1312_sas,1,-0.957803906
Bcl2_1313_sas,Bcl2_1313_sas,0,-5.004914309
Bcl2_1314_sas,Bcl2_1314_sas,1,-1.427298044
Bcl2_1315_sas,Bcl2_1315_sas,0,-4.29248125
Bcl2_1316_sas,Bcl2_1316_sas,0,-4.005613628
Bcl2_1317_sas,Bcl2_1317_sas,0,-3.777294426
Bcl2_1318_sas,Bcl2_1318_sas,0,-3.229715809
Bcl2_1319_sas,Bcl2_1319_sas,1,-2.564641508
Bcl2_132_sas,Bcl2_132_sas,0,-8.046997594
Bcl2_1320_sas,Bcl2_1320_sas,1,-2
Bcl2_1321_sas,Bcl2_1321_sas,1,-1
Bcl2_1322_sas,Bcl2_1322_sas,1,-2.261780978
Bcl2_1323_sas,Bcl2_1323_sas,1,-2.196158711
Bcl2_1324_sas,Bcl2_1324_sas,1,0
Bcl2_1325_sas,Bcl2_1325_sas,1,0
Bcl2_1326_sas,Bcl2_1326_sas,1,0
Bcl2_1327_sas,Bcl2_1327_sas,1,-0.79248125
Bcl2_1328_sas,Bcl2_1328_sas,1,0
Bcl2_1329_sas,Bcl2_1329_sas,1,-1.29248125
Bcl2_133_sas,Bcl2_133_sas,0,-8.383316214
Bcl2_1330_sas,Bcl2_1330_sas,1,-1
Bcl2_1331_sas,Bcl2_1331_sas,0,-5
Bcl2_1332_sas,Bcl2_1332_sas,0,-3.971257253
Bcl2_1333_sas,Bcl2_1333_sas,0,-4.475642357
Bcl2_1334_sas,Bcl2_1334_sas,0,-3.683161107
Bcl2_1335_sas,Bcl2_1335_sas,0,-4.938258473
Bcl2_1336_sas,Bcl2_1336_sas,0,-4.206813965
Bcl2_1337_sas,Bcl2_1337_sas,1,-1.527223892
Bcl2_1338_sas,Bcl2_1338_sas,0,-4.982170434
Bcl2_1339_sas,Bcl2_1339_sas,0,-4.043731421
Bcl2_134_sas,Bcl2_134_sas,0,-6.444371624
Bcl2_1340_sas,Bcl2_1340_sas,0,-5.178225985
Bcl2_1341_sas,Bcl2_1341_sas,0,-3.02219706
Bcl2_1342_sas,Bcl2_1342_sas,0,-4.784927804
Bcl2_1343_sas,Bcl2_1343_sas,1,-1.097960105
Bcl2_1344_sas,Bcl2_1344_sas,0,-6.326198431
Bcl2_1345_sas,Bcl2_1345_sas,1,-0.801442204
Bcl2_1346_sas,Bcl2_1346_sas,0,-5.899640811
Bcl2_1347_sas,Bcl2_1347_sas,0,-3.708926257
Bcl2_1348_sas,Bcl2_1348_sas,0,-4.614409345
Bcl2_1349_sas,Bcl2_1349_sas,0,-6.310568057
Bcl2_135_sas,Bcl2_135_sas,0,-6.291070991
Bcl2_1350_sas,Bcl2_1350_sas,0,-6.778432623
Bcl2_1351_sas,Bcl2_1351_sas,1,-1.661209362
Bcl2_1352_sas,Bcl2_1352_sas,0,-5.535937428
Bcl2_1353_sas,Bcl2_1353_sas,1,2.142537592
Bcl2_1354_sas,Bcl2_1354_sas,0,-7.036568692
Bcl2_1355_sas,Bcl2_1355_sas,1,-0.344634426
Bcl2_1356_sas,Bcl2_1356_sas,0,-7.730995475
Bcl2_1357_sas,Bcl2_1357_sas,0,-5.603201957
Bcl2_1358_sas,Bcl2_1358_sas,0,-7.592282726
Bcl2_1359_sas,Bcl2_1359_sas,0,-5.279661988
Bcl2_136_sas,Bcl2_136_sas,0,-7.082060637
Bcl2_1360_sas,Bcl2_1360_sas,0,-4.843805196
Bcl2_1361_sas,Bcl2_1361_sas,0,-7.70570584
Bcl2_1362_sas,Bcl2_1362_sas,0,-3.750918592
Bcl2_1363_sas,Bcl2_1363_sas,0,-7.648350581
Bcl2_1364_sas,Bcl2_1364_sas,0,-7.577250847
Bcl2_1365_sas,Bcl2_1365_sas,1,1.193547482
Bcl2_1366_sas,Bcl2_1366_sas,0,-8.800424686
Bcl2_1367_sas,Bcl2_1367_sas,0,-4.73817059
Bcl2_1368_sas,Bcl2_1368_sas,0,-9.059293137
Bcl2_1369_sas,Bcl2_1369_sas,0,-9.972819076
Bcl2_137_sas,Bcl2_137_sas,0,-7.100525907
Bcl2_1370_sas,Bcl2_1370_sas,0,-6.329399638
Bcl2_1371_sas,Bcl2_1371_sas,1,-1.182918983
Bcl2_1372_sas,Bcl2_1372_sas,0,-6.154752041
Bcl2_1373_sas,Bcl2_1373_sas,0,-7.978074622
Bcl2_1374_sas,Bcl2_1374_sas,0,-8.280808059
Bcl2_1375_sas,Bcl2_1375_sas,0,-6.299723991
Bcl2_1376_sas,Bcl2_1376_sas,1,-1.699015537
Bcl2_1377_sas,Bcl2_1377_sas,1,-2.962365586
Bcl2_1378_sas,Bcl2_1378_sas,0,-8.609659901
Bcl2_1379_sas,Bcl2_1379_sas,0,-8.574714795
Bcl2_138_sas,Bcl2_138_sas,0,-6.076776016
Bcl2_1380_sas,Bcl2_1380_sas,1,-2.084962501
Bcl2_1381_sas,Bcl2_1381_sas,0,-6.596146407
Bcl2_1382_sas,Bcl2_1382_sas,0,-5.805097181
Bcl2_1383_sas,Bcl2_1383_sas,0,-8.282774194
Bcl2_1384_sas,Bcl2_1384_sas,0,-6.799142587
Bcl2_1385_sas,Bcl2_1385_sas,0,-6.270427266
Bcl2_1386_sas,Bcl2_1386_sas,0,-3.492592561
Bcl2_1387_sas,Bcl2_1387_sas,0,-4.879628435
Bcl2_1388_sas,Bcl2_1388_sas,0,-6.872416919
Bcl2_1389_sas,Bcl2_1389_sas,0,-5.646160816
