"shRNAname","x"
"Bcl2_110_sas",0
"Bcl2_1100_sas",0
"Bcl2_1101_sas",0
"Bcl2_1102_sas",0
"Bcl2_1103_sas",0
"Bcl2_1104_sas",0
"Bcl2_1105_sas",0
"Bcl2_1106_sas",0
"Bcl2_1107_sas",0
"Bcl2_1108_sas",0
"Bcl2_1109_sas",0
"Bcl2_111_sas",0
"Bcl2_1110_sas",0
"Bcl2_1111_sas",0
"Bcl2_1112_sas",0
"Bcl2_1113_sas",1
"Bcl2_1114_sas",0
"Bcl2_1115_sas",0
"Bcl2_1116_sas",1
"Bcl2_1117_sas",0
"Bcl2_1118_sas",1
"Bcl2_1119_sas",1
"Bcl2_112_sas",0
"Bcl2_1120_sas",1
"Bcl2_1121_sas",1
"Bcl2_1122_sas",1
"Bcl2_1123_sas",1
"Bcl2_1124_sas",1
"Bcl2_1125_sas",1
"Bcl2_1126_sas",1
"Bcl2_1127_sas",1
"Bcl2_1128_sas",0
"Bcl2_1129_sas",0
"Bcl2_113_sas",0
"Bcl2_1130_sas",1
"Bcl2_1131_sas",1
"Bcl2_1132_sas",1
"Bcl2_1133_sas",1
"Bcl2_1134_sas",0
"Bcl2_1135_sas",1
"Bcl2_1136_sas",0
"Bcl2_1137_sas",0
"Bcl2_1138_sas",0
"Bcl2_1139_sas",0
"Bcl2_114_sas",1
"Bcl2_1140_sas",0
"Bcl2_1141_sas",0
"Bcl2_1142_sas",1
"Bcl2_1143_sas",1
"Bcl2_1144_sas",1
"Bcl2_1145_sas",1
"Bcl2_1146_sas",0
"Bcl2_1147_sas",1
"Bcl2_1148_sas",1
"Bcl2_1149_sas",1
"Bcl2_115_sas",1
"Bcl2_1150_sas",0
"Bcl2_1151_sas",1
"Bcl2_1152_sas",1
"Bcl2_1153_sas",1
"Bcl2_1154_sas",0
"Bcl2_1155_sas",0
"Bcl2_1156_sas",1
"Bcl2_1157_sas",0
"Bcl2_1158_sas",0
"Bcl2_1159_sas",0
"Bcl2_116_sas",0
"Bcl2_1160_sas",1
"Bcl2_1161_sas",0
"Bcl2_1162_sas",0
"Bcl2_1163_sas",1
"Bcl2_1164_sas",1
"Bcl2_1165_sas",1
"Bcl2_1166_sas",1
"Bcl2_1167_sas",1
"Bcl2_1168_sas",1
"Bcl2_1169_sas",0
"Bcl2_117_sas",0
"Bcl2_1170_sas",0
"Bcl2_1171_sas",1
"Bcl2_1172_sas",0
"Bcl2_1173_sas",0
"Bcl2_1174_sas",0
"Bcl2_1175_sas",0
"Bcl2_1176_sas",1
"Bcl2_1177_sas",1
"Bcl2_1178_sas",0
"Bcl2_1179_sas",1
"Bcl2_118_sas",0
"Bcl2_1180_sas",0
"Bcl2_1181_sas",1
"Bcl2_1182_sas",1
"Bcl2_1183_sas",1
"Bcl2_1184_sas",0
"Bcl2_1185_sas",0
"Bcl2_1186_sas",0
"Bcl2_1187_sas",0
"Bcl2_1188_sas",0
"Bcl2_1189_sas",0
"Bcl2_119_sas",1
"Bcl2_1190_sas",0
"Bcl2_1191_sas",0
"Bcl2_1192_sas",0
"Bcl2_1193_sas",0
"Bcl2_1194_sas",0
"Bcl2_1195_sas",0
"Bcl2_1196_sas",0
"Bcl2_1197_sas",0
"Bcl2_1198_sas",0
"Bcl2_1199_sas",0
"Bcl2_120_sas",0
"Bcl2_1200_sas",0
"Bcl2_1201_sas",0
"Bcl2_1202_sas",0
"Bcl2_1203_sas",0
"Bcl2_1204_sas",0
"Bcl2_1205_sas",0
"Bcl2_1206_sas",0
"Bcl2_1207_sas",0
"Bcl2_1208_sas",0
"Bcl2_1209_sas",0
"Bcl2_121_sas",0
"Bcl2_1210_sas",1
"Bcl2_1211_sas",0
"Bcl2_1212_sas",0
"Bcl2_1213_sas",0
"Bcl2_1214_sas",0
"Bcl2_1215_sas",0
"Bcl2_1216_sas",0
"Bcl2_1217_sas",0
"Bcl2_1218_sas",0
"Bcl2_1219_sas",1
"Bcl2_122_sas",0
"Bcl2_1220_sas",0
"Bcl2_1221_sas",0
"Bcl2_1222_sas",0
"Bcl2_1223_sas",0
"Bcl2_1224_sas",0
"Bcl2_1225_sas",0
"Bcl2_1226_sas",0
"Bcl2_1227_sas",0
"Bcl2_1228_sas",0
"Bcl2_1229_sas",0
"Bcl2_123_sas",0
"Bcl2_1230_sas",0
"Bcl2_1231_sas",0
"Bcl2_1232_sas",0
"Bcl2_1233_sas",0
"Bcl2_1234_sas",0
"Bcl2_1235_sas",0
"Bcl2_1236_sas",0
"Bcl2_1237_sas",0
"Bcl2_1238_sas",1
"Bcl2_1239_sas",0
"Bcl2_124_sas",0
"Bcl2_1240_sas",1
"Bcl2_1241_sas",1
"Bcl2_1242_sas",0
"Bcl2_1243_sas",0
"Bcl2_1244_sas",0
"Bcl2_1245_sas",1
"Bcl2_1246_sas",0
"Bcl2_1247_sas",0
"Bcl2_1248_sas",0
"Bcl2_1249_sas",0
"Bcl2_125_sas",0
"Bcl2_1250_sas",0
"Bcl2_1251_sas",0
"Bcl2_1252_sas",0
"Bcl2_1253_sas",0
"Bcl2_1254_sas",0
"Bcl2_1255_sas",0
"Bcl2_1256_sas",0
"Bcl2_1257_sas",0
"Bcl2_1258_sas",1
"Bcl2_1259_sas",0
"Bcl2_126_sas",0
"Bcl2_1260_sas",0
"Bcl2_1261_sas",0
"Bcl2_1262_sas",0
"Bcl2_1263_sas",1
"Bcl2_1264_sas",1
"Bcl2_1265_sas",1
"Bcl2_1266_sas",0
"Bcl2_1267_sas",1
"Bcl2_1268_sas",0
"Bcl2_1269_sas",0
"Bcl2_127_sas",0
"Bcl2_1270_sas",0
"Bcl2_1271_sas",0
"Bcl2_1272_sas",1
"Bcl2_1273_sas",0
"Bcl2_1274_sas",1
"Bcl2_1275_sas",0
"Bcl2_1276_sas",0
"Bcl2_1277_sas",0
"Bcl2_1278_sas",1
"Bcl2_1279_sas",1
"Bcl2_128_sas",0
"Bcl2_1280_sas",0
"Bcl2_1281_sas",0
"Bcl2_1282_sas",1
"Bcl2_1283_sas",0
"Bcl2_1284_sas",0
"Bcl2_1285_sas",0
"Bcl2_1286_sas",0
"Bcl2_1287_sas",0
"Bcl2_1288_sas",0
"Bcl2_1289_sas",0
"Bcl2_129_sas",1
"Bcl2_1290_sas",1
"Bcl2_1291_sas",0
"Bcl2_1292_sas",0
"Bcl2_1293_sas",1
"Bcl2_1294_sas",0
"Bcl2_1295_sas",1
"Bcl2_1296_sas",1
"Bcl2_1297_sas",1
"Bcl2_1298_sas",1
"Bcl2_1299_sas",1
"Bcl2_130_sas",0
"Bcl2_1300_sas",1
"Bcl2_1301_sas",1
"Bcl2_1302_sas",1
"Bcl2_1303_sas",1
"Bcl2_1304_sas",1
"Bcl2_1305_sas",1
"Bcl2_1306_sas",1
"Bcl2_1307_sas",1
"Bcl2_1308_sas",1
"Bcl2_1309_sas",1
"Bcl2_131_sas",0
"Bcl2_1310_sas",0
"Bcl2_132_sas",0
"Bcl2_133_sas",0
"Bcl2_1331_sas",0
"Bcl2_1332_sas",0
"Bcl2_1333_sas",0
"Bcl2_1334_sas",1
"Bcl2_1335_sas",0
"Bcl2_1336_sas",0
"Bcl2_1337_sas",0
"Bcl2_1338_sas",0
"Bcl2_1339_sas",0
"Bcl2_134_sas",0
"Bcl2_1340_sas",0
"Bcl2_1341_sas",1
"Bcl2_1342_sas",0
"Bcl2_1343_sas",0
"Bcl2_1344_sas",0
"Bcl2_1345_sas",0
"Bcl2_1346_sas",0
"Bcl2_1347_sas",0
"Bcl2_1348_sas",0
"Bcl2_1349_sas",0
"Bcl2_135_sas",0
"Bcl2_1350_sas",0
"Bcl2_1351_sas",1
"Bcl2_1352_sas",0
"Bcl2_1353_sas",1
"Bcl2_1354_sas",0
"Bcl2_1355_sas",1
"Bcl2_1356_sas",0
"Bcl2_1357_sas",0
"Bcl2_1358_sas",0
"Bcl2_1359_sas",0
"Bcl2_136_sas",0
"Bcl2_1360_sas",0
"Bcl2_1361_sas",0
"Bcl2_1362_sas",0
"Bcl2_1363_sas",0
"Bcl2_1364_sas",0
"Bcl2_1365_sas",1
"Bcl2_1366_sas",0
"Bcl2_1367_sas",0
"Bcl2_1368_sas",0
"Bcl2_1369_sas",0
"Bcl2_137_sas",0
"Bcl2_1370_sas",0
"Bcl2_1371_sas",1
"Bcl2_1372_sas",0
"Bcl2_1373_sas",0
"Bcl2_1374_sas",0
"Bcl2_1375_sas",0
"Bcl2_1376_sas",1
"Bcl2_1377_sas",0
"Bcl2_1378_sas",0
"Bcl2_1379_sas",0
"Bcl2_138_sas",0
"Bcl2_1380_sas",1
"Bcl2_1381_sas",0
"Bcl2_1382_sas",0
"Bcl2_1383_sas",0
"Bcl2_1384_sas",0
"Bcl2_1385_sas",0
"Bcl2_1386_sas",0
"Bcl2_1387_sas",0
"Bcl2_1388_sas",0
"Bcl2_1389_sas",0
"Bcl2_139_sas",0
"Bcl2_1390_sas",0
"Bcl2_1391_sas",0
"Bcl2_1392_sas",0
"Bcl2_1393_sas",0
"Bcl2_1394_sas",0
"Bcl2_1395_sas",0
"Bcl2_1396_sas",0
"Bcl2_1397_sas",0
"Bcl2_1398_sas",0
"Bcl2_1399_sas",0
"Bcl2_140_sas",0
"Bcl2_1400_sas",0
"Bcl2_1401_sas",0
"Bcl2_1402_sas",1
"Bcl2_1403_sas",0
"Bcl2_1404_sas",0
"Bcl2_1405_sas",0
"Bcl2_1406_sas",0
"Bcl2_1407_sas",0
"Bcl2_1408_sas",0
"Bcl2_1409_sas",0
"Bcl2_141_sas",0
"Bcl2_1410_sas",1
"Bcl2_1411_sas",0
"Bcl2_1412_sas",0
"Bcl2_1413_sas",0
"Bcl2_1414_sas",0
"Bcl2_1415_sas",1
"Bcl2_1416_sas",1
"Bcl2_1417_sas",1
"Bcl2_1418_sas",1
"Bcl2_1419_sas",1
"Bcl2_142_sas",0
"Bcl2_1420_sas",1
"Bcl2_1421_sas",1
"Bcl2_1422_sas",1
"Bcl2_1423_sas",1
"Bcl2_1424_sas",0
"Bcl2_1425_sas",0
"Bcl2_1426_sas",0
"Bcl2_1427_sas",0
"Bcl2_1428_sas",0
"Bcl2_1429_sas",0
"Bcl2_143_sas",0
"Bcl2_1430_sas",0
"Bcl2_1431_sas",0
"Bcl2_1432_sas",1
"Bcl2_1433_sas",0
"Bcl2_1434_sas",0
"Bcl2_1435_sas",0
"Bcl2_1436_sas",0
"Bcl2_1437_sas",0
"Bcl2_1438_sas",0
"Bcl2_1439_sas",1
"Bcl2_144_sas",0
"Bcl2_1440_sas",1
"Bcl2_1441_sas",0
"Bcl2_1442_sas",1
"Bcl2_1443_sas",0
"Bcl2_1444_sas",1
"Bcl2_1445_sas",1
"Bcl2_1446_sas",1
"Bcl2_1447_sas",0
"Bcl2_1448_sas",1
"Bcl2_1449_sas",1
"Bcl2_145_sas",0
"Bcl2_1450_sas",1
"Bcl2_1451_sas",1
"Bcl2_1452_sas",0
"Bcl2_1453_sas",1
"Bcl2_1454_sas",1
"Bcl2_1455_sas",1
"Bcl2_1456_sas",0
"Bcl2_1457_sas",1
"Bcl2_1458_sas",0
"Bcl2_1459_sas",1
"Bcl2_146_sas",0
"Bcl2_1460_sas",0
"Bcl2_1461_sas",1
"Bcl2_1462_sas",0
"Bcl2_1463_sas",1
"Bcl2_1464_sas",0
"Bcl2_1465_sas",1
"Bcl2_1466_sas",0
"Bcl2_1467_sas",0
"Bcl2_1468_sas",0
"Bcl2_1469_sas",0
"Bcl2_147_sas",0
"Bcl2_1470_sas",0
"Bcl2_1471_sas",0
"Bcl2_1472_sas",0
"Bcl2_1473_sas",0
"Bcl2_1474_sas",1
"Bcl2_1475_sas",0
"Bcl2_1476_sas",0
"Bcl2_1477_sas",1
"Bcl2_1478_sas",0
"Bcl2_1479_sas",0
"Bcl2_148_sas",0
"Bcl2_1480_sas",0
"Bcl2_1481_sas",1
"Bcl2_1482_sas",0
"Bcl2_1483_sas",0
"Bcl2_1484_sas",0
"Bcl2_1485_sas",0
"Bcl2_1486_sas",0
"Bcl2_1487_sas",0
"Bcl2_1488_sas",0
"Bcl2_1489_sas",0
"Bcl2_149_sas",1
"Bcl2_1490_sas",0
"Bcl2_1491_sas",0
"Bcl2_1492_sas",0
"Bcl2_1493_sas",0
"Bcl2_1494_sas",0
"Bcl2_1495_sas",0
"Bcl2_1496_sas",0
"Bcl2_1497_sas",0
"Bcl2_1498_sas",0
"Bcl2_1499_sas",0
"Bcl2_15_sas",0
"Bcl2_150_sas",1
"Bcl2_1501_sas",0
"Bcl2_1502_sas",0
"Bcl2_1503_sas",0
"Bcl2_1504_sas",0
"Bcl2_1505_sas",0
"Bcl2_1506_sas",0
"Bcl2_1507_sas",0
"Bcl2_1508_sas",0
"Bcl2_1509_sas",0
"Bcl2_151_sas",0
"Bcl2_1510_sas",0
"Bcl2_1511_sas",0
"Bcl2_1512_sas",0
"Bcl2_1513_sas",0
"Bcl2_1514_sas",0
"Bcl2_1515_sas",0
"Bcl2_1516_sas",1
"Bcl2_1517_sas",1
"Bcl2_1518_sas",0
"Bcl2_1519_sas",0
"Bcl2_152_sas",0
"Bcl2_1520_sas",0
"Bcl2_1521_sas",0
"Bcl2_1522_sas",0
"Bcl2_1523_sas",0
"Bcl2_1524_sas",0
"Bcl2_1525_sas",0
"Bcl2_1526_sas",0
"Bcl2_1527_sas",0
"Bcl2_1528_sas",0
"Bcl2_1529_sas",0
"Bcl2_153_sas",0
"Bcl2_1530_sas",0
"Bcl2_1531_sas",0
"Bcl2_1532_sas",0
"Bcl2_1533_sas",0
"Bcl2_1534_sas",0
"Bcl2_1535_sas",0
"Bcl2_1536_sas",0
"Bcl2_1537_sas",0
"Bcl2_1538_sas",1
"Bcl2_1539_sas",0
"Bcl2_154_sas",0
"Bcl2_1540_sas",0
"Bcl2_1541_sas",1
"Bcl2_1542_sas",1
"Bcl2_1543_sas",0
"Bcl2_1544_sas",1
"Bcl2_1545_sas",1
"Bcl2_1546_sas",0
"Bcl2_1547_sas",0
"Bcl2_1548_sas",0
"Bcl2_1549_sas",0
"Bcl2_155_sas",0
"Bcl2_1550_sas",1
"Bcl2_1551_sas",0
"Bcl2_1552_sas",1
"Bcl2_1553_sas",0
"Bcl2_1554_sas",0
"Bcl2_1555_sas",0
"Bcl2_1556_sas",0
"Bcl2_1557_sas",1
"Bcl2_1558_sas",1
"Bcl2_1559_sas",0
"Bcl2_156_sas",1
"Bcl2_1560_sas",0
"Bcl2_1561_sas",1
"Bcl2_1562_sas",1
"Bcl2_1563_sas",0
"Bcl2_1564_sas",0
"Bcl2_1565_sas",0
"Bcl2_1566_sas",0
"Bcl2_1567_sas",0
"Bcl2_1568_sas",0
"Bcl2_1569_sas",0
"Bcl2_157_sas",1
"Bcl2_1570_sas",0
"Bcl2_1571_sas",0
"Bcl2_1572_sas",0
"Bcl2_1573_sas",0
"Bcl2_1574_sas",0
"Bcl2_1575_sas",0
"Bcl2_1576_sas",0
"Bcl2_1577_sas",0
"Bcl2_1578_sas",0
"Bcl2_1579_sas",0
"Bcl2_158_sas",0
"Bcl2_1580_sas",0
"Bcl2_1581_sas",0
"Bcl2_1582_sas",0
"Bcl2_1583_sas",0
"Bcl2_1584_sas",0
"Bcl2_1585_sas",0
"Bcl2_1586_sas",0
"Bcl2_1587_sas",0
"Bcl2_1588_sas",0
"Bcl2_1589_sas",0
"Bcl2_159_sas",0
"Bcl2_1590_sas",0
"Bcl2_1591_sas",0
"Bcl2_1592_sas",0
"Bcl2_1593_sas",0
"Bcl2_1594_sas",0
"Bcl2_1595_sas",0
"Bcl2_1596_sas",0
"Bcl2_1597_sas",0
"Bcl2_1598_sas",0
"Bcl2_1599_sas",0
"Bcl2_16_sas",0
"Bcl2_160_sas",0
"Bcl2_1600_sas",0
"Bcl2_1601_sas",0
"Bcl2_1602_sas",0
"Bcl2_1603_sas",0
"Bcl2_1604_sas",0
"Bcl2_1605_sas",0
"Bcl2_1606_sas",0
"Bcl2_1607_sas",0
"Bcl2_1608_sas",0
"Bcl2_1609_sas",0
"Bcl2_161_sas",0
"Bcl2_1610_sas",0
"Bcl2_1611_sas",0
"Bcl2_1612_sas",0
"Bcl2_1613_sas",0
"Bcl2_1614_sas",0
"Bcl2_1615_sas",0
"Bcl2_1616_sas",0
"Bcl2_1617_sas",0
"Bcl2_1618_sas",0
"Bcl2_1619_sas",0
"Bcl2_162_sas",0
"Bcl2_1620_sas",0
"Bcl2_1621_sas",0
"Bcl2_1622_sas",0
"Bcl2_1623_sas",0
"Bcl2_1624_sas",0
"Bcl2_1625_sas",0
"Bcl2_1626_sas",0
"Bcl2_1627_sas",0
"Bcl2_1628_sas",0
"Bcl2_1629_sas",0
"Bcl2_163_sas",0
"Bcl2_1630_sas",0
"Bcl2_1631_sas",0
"Bcl2_1632_sas",0
"Bcl2_1633_sas",0
"Bcl2_1634_sas",0
"Bcl2_1635_sas",0
"Bcl2_1636_sas",0
"Bcl2_1637_sas",0
"Bcl2_1638_sas",0
"Bcl2_1639_sas",0
"Bcl2_164_sas",0
"Bcl2_1640_sas",0
"Bcl2_1641_sas",0
"Bcl2_1642_sas",0
"Bcl2_1643_sas",0
"Bcl2_1644_sas",0
"Bcl2_1645_sas",0
"Bcl2_1646_sas",0
"Bcl2_1647_sas",0
"Bcl2_1648_sas",0
"Bcl2_1649_sas",0
"Bcl2_165_sas",0
"Bcl2_1650_sas",1
"Bcl2_1651_sas",0
"Bcl2_1652_sas",0
"Bcl2_1653_sas",0
"Bcl2_1654_sas",0
"Bcl2_1655_sas",0
"Bcl2_1656_sas",0
"Bcl2_1657_sas",0
"Bcl2_1658_sas",0
"Bcl2_1659_sas",0
"Bcl2_166_sas",0
"Bcl2_1660_sas",0
"Bcl2_1661_sas",1
"Bcl2_1662_sas",0
"Bcl2_1663_sas",0
"Bcl2_1664_sas",0
"Bcl2_1665_sas",0
"Bcl2_1666_sas",0
"Bcl2_1667_sas",0
"Bcl2_1668_sas",0
"Bcl2_1669_sas",0
"Bcl2_167_sas",0
"Bcl2_1670_sas",0
"Bcl2_1671_sas",0
"Bcl2_1672_sas",0
"Bcl2_1673_sas",0
"Bcl2_1674_sas",0
"Bcl2_1675_sas",0
"Bcl2_1676_sas",0
"Bcl2_1677_sas",0
"Bcl2_1678_sas",0
"Bcl2_1679_sas",0
"Bcl2_168_sas",0
"Bcl2_1680_sas",0
"Bcl2_1681_sas",0
"Bcl2_1682_sas",0
"Bcl2_1683_sas",0
"Bcl2_1684_sas",0
"Bcl2_1685_sas",0
"Bcl2_1686_sas",0
"Bcl2_1687_sas",0
"Bcl2_1688_sas",0
"Bcl2_1689_sas",0
"Bcl2_169_sas",0
"Bcl2_1690_sas",0
"Bcl2_1691_sas",0
"Bcl2_1692_sas",1
"Bcl2_1693_sas",0
"Bcl2_1694_sas",0
"Bcl2_1695_sas",1
"Bcl2_1696_sas",1
"Bcl2_1697_sas",0
"Bcl2_1698_sas",1
"Bcl2_1699_sas",0
"Bcl2_17_sas",1
"Bcl2_170_sas",0
"Bcl2_1700_sas",0
"Bcl2_1701_sas",1
"Bcl2_1702_sas",1
"Bcl2_1703_sas",1
"Bcl2_1704_sas",0
"Bcl2_1705_sas",0
"Bcl2_1706_sas",0
"Bcl2_1707_sas",0
"Bcl2_1708_sas",0
"Bcl2_1709_sas",0
"Bcl2_171_sas",0
"Bcl2_1710_sas",0
"Bcl2_1711_sas",0
"Bcl2_1712_sas",0
"Bcl2_1713_sas",0
"Bcl2_1714_sas",0
"Bcl2_1715_sas",0
"Bcl2_1716_sas",0
"Bcl2_1717_sas",0
"Bcl2_1718_sas",0
"Bcl2_1719_sas",1
"Bcl2_172_sas",0
"Bcl2_1720_sas",0
"Bcl2_1721_sas",0
"Bcl2_1722_sas",0
"Bcl2_1723_sas",0
"Bcl2_1724_sas",0
"Bcl2_1725_sas",0
"Bcl2_1726_sas",0
"Bcl2_1727_sas",0
"Bcl2_1728_sas",1
"Bcl2_1729_sas",0
"Bcl2_173_sas",1
"Bcl2_1730_sas",0
"Bcl2_1731_sas",0
"Bcl2_1732_sas",0
"Bcl2_1733_sas",0
"Bcl2_1734_sas",0
"Bcl2_1735_sas",0
"Bcl2_1736_sas",0
"Bcl2_1737_sas",1
"Bcl2_1738_sas",0
"Bcl2_1739_sas",1
"Bcl2_174_sas",0
"Bcl2_1740_sas",0
"Bcl2_1741_sas",0
"Bcl2_1742_sas",0
"Bcl2_1743_sas",0
"Bcl2_1744_sas",1
"Bcl2_1745_sas",0
"Bcl2_1746_sas",0
"Bcl2_1747_sas",0
"Bcl2_1748_sas",0
"Bcl2_1749_sas",0
"Bcl2_175_sas",0
"Bcl2_1750_sas",0
"Bcl2_1751_sas",0
"Bcl2_1752_sas",0
"Bcl2_1753_sas",0
"Bcl2_1754_sas",0
"Bcl2_1755_sas",0
"Bcl2_1756_sas",0
"Bcl2_1757_sas",0
"Bcl2_1758_sas",0
"Bcl2_1759_sas",0
"Bcl2_176_sas",1
"Bcl2_1760_sas",0
"Bcl2_1761_sas",0
"Bcl2_1762_sas",0
"Bcl2_1763_sas",0
"Bcl2_1764_sas",0
"Bcl2_1765_sas",0
"Bcl2_1766_sas",0
"Bcl2_1767_sas",0
"Bcl2_1768_sas",0
"Bcl2_1769_sas",0
"Bcl2_177_sas",0
"Bcl2_1770_sas",0
"Bcl2_1771_sas",0
"Bcl2_1772_sas",0
"Bcl2_1773_sas",0
"Bcl2_1774_sas",0
"Bcl2_1775_sas",0
"Bcl2_1776_sas",0
"Bcl2_1777_sas",0
"Bcl2_1778_sas",0
"Bcl2_1779_sas",0
"Bcl2_178_sas",0
"Bcl2_1780_sas",0
"Bcl2_1781_sas",0
"Bcl2_1782_sas",0
"Bcl2_1783_sas",0
"Bcl2_1784_sas",0
"Bcl2_1785_sas",0
"Bcl2_1786_sas",0
"Bcl2_1787_sas",0
"Bcl2_1788_sas",0
"Bcl2_1789_sas",0
"Bcl2_179_sas",0
"Bcl2_1790_sas",0
"Bcl2_1791_sas",0
"Bcl2_1792_sas",0
"Bcl2_1793_sas",1
"Bcl2_1794_sas",0
"Bcl2_1795_sas",1
"Bcl2_1796_sas",1
"Bcl2_1797_sas",0
"Bcl2_1798_sas",0
"Bcl2_1799_sas",1
"Bcl2_18_sas",0
"Bcl2_180_sas",0
"Bcl2_1800_sas",1
"Bcl2_1801_sas",1
"Bcl2_1802_sas",0
"Bcl2_1803_sas",0
"Bcl2_1804_sas",0
"Bcl2_1805_sas",0
"Bcl2_1806_sas",0
"Bcl2_1807_sas",0
"Bcl2_1808_sas",0
"Bcl2_1809_sas",0
"Bcl2_181_sas",0
"Bcl2_1810_sas",0
"Bcl2_1811_sas",0
"Bcl2_1812_sas",0
"Bcl2_1813_sas",0
"Bcl2_1814_sas",0
"Bcl2_1815_sas",0
"Bcl2_1816_sas",0
"Bcl2_1817_sas",0
"Bcl2_1818_sas",0
"Bcl2_1819_sas",0
"Bcl2_182_sas",0
"Bcl2_1820_sas",0
"Bcl2_1821_sas",1
"Bcl2_1822_sas",0
"Bcl2_1823_sas",0
"Bcl2_1824_sas",0
"Bcl2_1825_sas",0
"Bcl2_1826_sas",0
"Bcl2_1827_sas",0
"Bcl2_1828_sas",0
"Bcl2_1829_sas",0
"Bcl2_183_sas",0
"Bcl2_1830_sas",1
"Bcl2_1831_sas",1
"Bcl2_1832_sas",1
"Bcl2_1833_sas",1
"Bcl2_1834_sas",0
"Bcl2_1835_sas",0
"Bcl2_1836_sas",0
"Bcl2_1837_sas",0
"Bcl2_1838_sas",0
"Bcl2_1839_sas",0
"Bcl2_184_sas",0
"Bcl2_1840_sas",1
"Bcl2_1841_sas",0
"Bcl2_1842_sas",0
"Bcl2_1843_sas",1
"Bcl2_1844_sas",0
"Bcl2_1845_sas",0
"Bcl2_1846_sas",0
"Bcl2_1847_sas",0
"Bcl2_1848_sas",0
"Bcl2_1849_sas",0
"Bcl2_185_sas",0
"Bcl2_1850_sas",0
"Bcl2_1851_sas",0
"Bcl2_1852_sas",0
"Bcl2_1853_sas",0
"Bcl2_1854_sas",0
"Bcl2_1855_sas",0
"Bcl2_1856_sas",0
"Bcl2_1857_sas",0
"Bcl2_1858_sas",0
"Bcl2_1859_sas",1
"Bcl2_186_sas",0
"Bcl2_1860_sas",1
"Bcl2_1861_sas",0
"Bcl2_1862_sas",0
"Bcl2_1863_sas",0
"Bcl2_1864_sas",0
"Bcl2_1865_sas",0
"Bcl2_1866_sas",0
"Bcl2_1867_sas",0
"Bcl2_1868_sas",0
